指數代碼,指數名稱,日期,價格指數值,報酬指數值,漲跌點數,漲跌百分比
BC30,藍籌30指數,2026/03/31,16755.56,23709.33,-534.9,-3.09%
BC30,藍籌30指數,2026/03/30,17290.46,24466.22,-414.19,-2.34%
BC30,藍籌30指數,2026/03/27,17704.65,25052.3,-142.82,-0.8%
BC30,藍籌30指數,2026/03/26,17847.47,25254.4,-34.06,-0.19%
BC30,藍籌30指數,2026/03/25,17881.53,25302.6,582.3,3.37%
BC30,藍籌30指數,2026/03/24,17299.23,24478.63,-59.3,-0.34%
BC30,藍籌30指數,2026/03/23,17358.53,24562.53,-475.19,-2.66%
BC30,藍籌30指數,2026/03/20,17833.72,25234.94,-3.83,-0.02%
BC30,藍籌30指數,2026/03/19,17837.55,25240.36,-258.78,-1.43%
BC30,藍籌30指數,2026/03/18,18096.33,25592.31,302.65,1.7%
BC30,藍籌30指數,2026/03/17,17793.68,25164.28,425.61,2.45%
BC30,藍籌30指數,2026/03/16,17368.07,24533.82,-141.56,-0.81%
BC30,藍籌30指數,2026/03/13,17509.63,24733.79,-164.95,-0.93%
BC30,藍籌30指數,2026/03/12,17674.58,24966.79,-203.04,-1.14%
BC30,藍籌30指數,2026/03/11,17877.62,25253.6,756.47,4.42%
BC30,藍籌30指數,2026/03/10,17121.15,24185.03,452.29,2.71%
BC30,藍籌30指數,2026/03/09,16668.86,23546.12,-847.17,-4.84%
BC30,藍籌30指數,2026/03/06,17516.03,24742.82,-28.12,-0.16%
BC30,藍籌30指數,2026/03/05,17544.15,24782.56,555.88,3.27%
BC30,藍籌30指數,2026/03/04,16988.27,23997.32,-824.04,-4.63%
BC30,藍籌30指數,2026/03/03,17812.31,25161.34,-448.37,-2.46%
BC30,藍籌30指數,2026/03/02,18260.68,25794.71,-175.1,-0.95%
CG100,臺灣公司治理100指數,2026/03/31,19703.74,29750.72,-363.63,-1.81%
CG100,臺灣公司治理100指數,2026/03/30,20067.37,30299.76,-415.91,-2.03%
CG100,臺灣公司治理100指數,2026/03/27,20483.28,30927.75,-158.43,-0.77%
CG100,臺灣公司治理100指數,2026/03/26,20641.71,31166.96,-77.91,-0.38%
