指數代碼,指數名稱,日期,價格指數值,報酬指數值,漲跌點數,漲跌百分比
BC30,藍籌30指數,2026/04/02,17115.54,24218.7,-410.31,-2.34%
BC30,藍籌30指數,2026/04/01,17525.85,24799.29,770.29,4.6%
BC30,藍籌30指數,2026/03/31,16755.56,23709.33,-534.9,-3.09%
CG100,臺灣公司治理100指數,2026/04/02,20255.87,30584.37,-378.6,-1.83%
CG100,臺灣公司治理100指數,2026/04/01,20634.47,31156.03,930.73,4.72%
CG100,臺灣公司治理100指數,2026/03/31,19703.74,29750.72,-363.63,-1.81%
DIVP,臺指股利點數,2026/04/02,80.65,0,0.06,0.07%
DIVP,臺指股利點數,2026/04/01,80.59,0,1.17,1.47%
DIVP,臺指股利點數,2026/03/31,79.42,0,0.01,0.01%
DVA150,漲升股利150指數,2026/04/02,13840.73,21286.09,-182.46,-1.3%
DVA150,漲升股利150指數,2026/04/01,14023.19,21566.7,625.11,4.67%
DVA150,漲升股利150指數,2026/03/31,13398.08,20605.16,-562,-4.03%
EDRIN,電子類日報酬反向一倍指數,2026/04/02,1171.37,0,24.56,2.14%
EDRIN,電子類日報酬反向一倍指數,2026/04/01,1146.81,0,-62.72,-5.19%
EDRIN,電子類日報酬反向一倍指數,2026/03/31,1209.53,0,31.72,2.69%
EDRL2,電子類日報酬兩倍指數,2026/04/02,183627.99,0,-8216.12,-4.28%
EDRL2,電子類日報酬兩倍指數,2026/04/01,191844.11,0,18027.65,10.37%
EDRL2,電子類日報酬兩倍指數,2026/03/31,173816.46,0,-9894.61,-5.39%
EMP99,臺灣就業99指數,2026/04/02,19297.42,33405.36,-140.66,-0.72%
EMP99,臺灣就業99指數,2026/04/01,19438.08,33648.86,821.78,4.41%
EMP99,臺灣就業99指數,2026/03/31,18616.3,32226.28,-660,-3.42%
F4GTTE,臺灣永續指數,2026/04/02,17067.75,24106.13,-290.04,-1.67%
F4GTTE,臺灣永續指數,2026/04/01,17357.79,24515.77,774.26,4.67%
F4GTTE,臺灣永續指數,2026/03/31,16583.53,23422.21,-467.4,-2.74%
FDRIN,金融類日報酬反向一倍指數,2026/04/02,2893.67,0,-1.55,-0.05%
FDRIN,金融類日報酬反向一倍指數,2026/04/01,2895.22,0,-74.92,-2.52%
FDRIN,金融類日報酬反向一倍指數,2026/03/31,2970.14,0,11.81,0.4%
FDRL2,金融類日報酬兩倍指數,2026/04/02,60844.87,0,65.25,0.11%
FDRL2,金融類日報酬兩倍指數,2026/04/01,60779.62,0,2919.07,5.05%
FDRL2,金融類日報酬兩倍指數,2026/03/31,57860.55,0,-465.61,-0.8%
FRMSA,寶島指數,2026/04/02,36432.95,55906.27,-651.5,-1.76%
FRMSA,寶島指數,2026/04/01,37084.45,56905.56,1617.76,4.56%
